strategy,dbs_requested,dbs_realized,dbs_shortfall,target_quota_total,accepted_total,shortfall_total,fulfillment_rate,outer_attempts_total,inner_attempts_total,failed_rounds_total,invalid_pairs_filtered_total,top_failure_event,top_shortfall_reason,failure_events,shortfall_reasons
0E,70,64,9,836,709,127,0.8480861244019139,6941,31827,6232,428,duplicate_pair,result_size_out_of_range,duplicate_pair:3185; result_size_out_of_range:2407; qa_validation_failed:428; other:145; generation_exception:67,result_size_out_of_range:100; duplicate_pair:24; pattern_infeasible:3
0M,47,43,4,423,365,58,0.8628841607565012,1200,7322,835,184,result_size_out_of_range,other,result_size_out_of_range:303; other:300; qa_validation_failed:184; insufficient_filter_columns:39; generation_exception:6; duplicate_pair:3,other:25; result_size_out_of_range:25; insufficient_filter_columns:5; pattern_infeasible:3
0H,26,25,1,142,139,3,0.9788732394366197,274,281,135,133,qa_validation_failed,pattern_infeasible,qa_validation_failed:133; generation_exception:2,pattern_infeasible:3
1pE,58,50,8,446,359,87,0.804932735426009,2398,19004,2039,194,result_size_out_of_range,sparse_combinations,result_size_out_of_range:1127; sparse_combinations:612; qa_validation_failed:194; duplicate_pair:76; generation_exception:30,sparse_combinations:51; result_size_out_of_range:33; pattern_infeasible:3
1pM,51,44,7,300,247,53,0.8233333333333334,953,5314,706,148,sparse_combinations,sparse_combinations,sparse_combinations:468; qa_validation_failed:148; generation_exception:89; result_size_out_of_range:1,sparse_combinations:39; generation_exception:6; qa_validation_failed:5; pattern_infeasible:3
1pH,41,36,6,209,178,31,0.8516746411483254,1148,7265,970,227,insufficient_filter_columns,sparse_combinations,insufficient_filter_columns:470; qa_validation_failed:227; sparse_combinations:192; generation_exception:81,sparse_combinations:16; generation_exception:5; qa_validation_failed:5; pattern_infeasible:3; insufficient_filter_columns:2
2pE,32,28,4,154,130,24,0.8441558441558441,662,5291,532,19,sparse_combinations,sparse_combinations,sparse_combinations:254; result_size_out_of_range:242; qa_validation_failed:19; generation_exception:17,sparse_combinations:21; pattern_infeasible:3
2pM,32,27,5,153,124,29,0.8104575163398693,936,7253,812,57,result_size_out_of_range,sparse_combinations,result_size_out_of_range:436; sparse_combinations:252; generation_exception:67; qa_validation_failed:57,sparse_combinations:21; generation_exception:5; pattern_infeasible:3
2pH,30,25,5,136,108,28,0.7941176470588235,511,2820,403,79,sparse_combinations,sparse_combinations,sparse_combinations:252; qa_validation_failed:79; generation_exception:72,sparse_combinations:21; generation_exception:5; pattern_infeasible:2
2iE,37,33,4,158,141,17,0.8924050632911392,981,6545,840,275,result_size_out_of_range,sparse_combinations,result_size_out_of_range:463; qa_validation_failed:275; sparse_combinations:99; generation_exception:2; duplicate_pair:1,sparse_combinations:8; result_size_out_of_range:7; pattern_infeasible:2
2iM,36,32,4,149,135,14,0.9060402684563759,456,2689,321,86,result_size_out_of_range,sparse_combinations,result_size_out_of_range:131; sparse_combinations:98; qa_validation_failed:86; generation_exception:4; duplicate_pair:2,sparse_combinations:8; qa_validation_failed:4; pattern_infeasible:2
2iH,34,30,4,132,118,14,0.8939393939393939,362,1335,244,145,qa_validation_failed,sparse_combinations,qa_validation_failed:145; sparse_combinations:97; generation_exception:2,sparse_combinations:8; qa_validation_failed:4; pattern_infeasible:2
3pE,10,8,2,29,20,9,0.6896551724137931,126,1038,106,8,sparse_combinations,sparse_combinations,sparse_combinations:93; qa_validation_failed:8; generation_exception:5,sparse_combinations:7; pattern_infeasible:2
3pM,10,8,2,29,20,9,0.6896551724137931,160,1039,140,8,sparse_combinations,sparse_combinations,sparse_combinations:85; generation_exception:47; qa_validation_failed:8,sparse_combinations:7; pattern_infeasible:2
3pH,10,6,4,28,14,14,0.5,176,1154,162,11,sparse_combinations,sparse_combinations,sparse_combinations:89; generation_exception:62; qa_validation_failed:11,sparse_combinations:7; generation_exception:5; pattern_infeasible:2
3iE,20,15,5,61,46,15,0.7540983606557377,216,1689,170,6,sparse_combinations,sparse_combinations,sparse_combinations:156; generation_exception:6; qa_validation_failed:6; result_size_out_of_range:2,sparse_combinations:13; pattern_infeasible:2
3iM,20,15,5,61,46,15,0.7540983606557377,215,1629,169,12,sparse_combinations,sparse_combinations,sparse_combinations:156; qa_validation_failed:12; generation_exception:1,sparse_combinations:13; pattern_infeasible:2
3iH,20,15,5,57,43,14,0.7543859649122807,214,1520,171,25,sparse_combinations,sparse_combinations,sparse_combinations:144; qa_validation_failed:25; generation_exception:2,sparse_combinations:12; pattern_infeasible:2
4iE,14,11,3,33,27,6,0.8181818181818182,86,592,59,8,sparse_combinations,sparse_combinations,sparse_combinations:48; qa_validation_failed:8; result_size_out_of_range:2; duplicate_pair:1,sparse_combinations:4; pattern_infeasible:2
4iM,14,11,3,32,26,6,0.8125,89,548,63,13,sparse_combinations,sparse_combinations,sparse_combinations:48; qa_validation_failed:13; generation_exception:2,sparse_combinations:4; pattern_infeasible:2
4iH,14,11,3,32,26,6,0.8125,92,556,66,17,sparse_combinations,sparse_combinations,sparse_combinations:48; qa_validation_failed:17; generation_exception:1,sparse_combinations:4; pattern_infeasible:2
