strategy,dbs_requested,dbs_realized,dbs_shortfall,target_quota_total,accepted_total,shortfall_total,fulfillment_rate,outer_attempts_total,inner_attempts_total,failed_rounds_total,invalid_pairs_filtered_total,top_failure_event,top_shortfall_reason,failure_events,shortfall_reasons
0E,155,149,19,1194,1044,150,0.8743718592964824,15541,18970,14497,1255,duplicate_pair,duplicate_pair,duplicate_pair:12870; qa_validation_failed:1255; no_valid_values:216; result_size_out_of_range:156,duplicate_pair:102; no_valid_values:18; qa_validation_failed:17; result_size_out_of_range:13
0M,120,115,5,838,787,51,0.9391408114558473,1861,7473,1074,435,insufficient_filter_columns,insufficient_filter_columns,insufficient_filter_columns:456; qa_validation_failed:435; no_valid_values:156; duplicate_pair:20; other:7,insufficient_filter_columns:38; no_valid_values:13
0H,30,29,1,177,174,3,0.9830508474576272,413,758,239,201,qa_validation_failed,insufficient_filter_columns,qa_validation_failed:201; insufficient_filter_columns:37; generation_exception:1,insufficient_filter_columns:3
1pE,155,134,25,1134,953,181,0.8403880070546738,8967,26218,8014,941,duplicate_pair,sparse_combinations,duplicate_pair:4930; sparse_combinations:1884; qa_validation_failed:941; generation_exception:241; result_size_out_of_range:18,sparse_combinations:157; duplicate_pair:24
1pM,141,121,20,951,804,147,0.8454258675078864,2822,16409,2018,446,sparse_combinations,sparse_combinations,sparse_combinations:1500; qa_validation_failed:446; generation_exception:69; duplicate_pair:3,sparse_combinations:125; qa_validation_failed:16; generation_exception:6
1pH,97,85,12,602,528,74,0.8770764119601329,2295,9771,1767,878,qa_validation_failed,sparse_combinations,qa_validation_failed:878; sparse_combinations:816; generation_exception:73,sparse_combinations:68; generation_exception:6
2pE,90,73,17,513,409,104,0.797270955165692,1750,11859,1341,146,sparse_combinations,sparse_combinations,sparse_combinations:1116; qa_validation_failed:146; generation_exception:64; duplicate_pair:14; result_size_out_of_range:1,sparse_combinations:93; generation_exception:6; qa_validation_failed:5
2pM,88,72,16,489,396,93,0.8098159509202454,1697,10627,1301,226,sparse_combinations,sparse_combinations,sparse_combinations:985; qa_validation_failed:226; generation_exception:88; duplicate_pair:2,sparse_combinations:82; generation_exception:6; qa_validation_failed:5
2pH,79,64,15,410,328,82,0.8,1856,8844,1528,686,sparse_combinations,sparse_combinations,sparse_combinations:769; qa_validation_failed:686; generation_exception:73,sparse_combinations:64; qa_validation_failed:12; generation_exception:6
2iE,71,54,17,335,240,95,0.7164179104477612,1446,11801,1206,44,sparse_combinations,sparse_combinations,sparse_combinations:1140; qa_validation_failed:44; duplicate_pair:21; result_size_out_of_range:1,sparse_combinations:95
2iM,66,52,14,283,220,63,0.7773851590106007,1046,7886,826,70,sparse_combinations,sparse_combinations,sparse_combinations:756; qa_validation_failed:70,sparse_combinations:63
2iH,53,43,10,206,165,41,0.8009708737864077,862,5466,697,198,sparse_combinations,sparse_combinations,sparse_combinations:492; qa_validation_failed:198; insufficient_filter_columns:7,sparse_combinations:41
3pE,17,13,4,65,46,19,0.7076923076923077,292,2359,246,16,sparse_combinations,sparse_combinations,sparse_combinations:228; qa_validation_failed:16; duplicate_pair:2,sparse_combinations:19
3pM,17,13,4,63,44,19,0.6984126984126984,327,2449,283,49,sparse_combinations,sparse_combinations,sparse_combinations:228; qa_validation_failed:49; duplicate_pair:6,sparse_combinations:19
3pH,15,12,3,44,37,7,0.8409090909090909,186,948,149,65,sparse_combinations,sparse_combinations,sparse_combinations:84; qa_validation_failed:65,sparse_combinations:7
3iE,39,29,10,153,108,45,0.7058823529411765,720,5858,612,36,sparse_combinations,sparse_combinations,sparse_combinations:559; qa_validation_failed:36; duplicate_pair:17,sparse_combinations:45
3iM,36,28,8,125,96,29,0.768,513,3655,417,69,sparse_combinations,sparse_combinations,sparse_combinations:348; qa_validation_failed:69,sparse_combinations:29
3iH,33,27,6,103,85,18,0.8252427184466019,388,2357,303,87,sparse_combinations,sparse_combinations,sparse_combinations:216; qa_validation_failed:87,sparse_combinations:18
4iE,24,15,9,92,49,43,0.532608695652174,591,5327,542,18,sparse_combinations,sparse_combinations,sparse_combinations:522; qa_validation_failed:18; duplicate_pair:2,sparse_combinations:43
4iM,22,15,7,71,48,23,0.676056338028169,358,2902,310,33,sparse_combinations,sparse_combinations,sparse_combinations:277; qa_validation_failed:33,sparse_combinations:23
4iH,19,14,5,52,40,12,0.7692307692307693,244,1595,204,59,sparse_combinations,sparse_combinations,sparse_combinations:144; qa_validation_failed:59; generation_exception:1,sparse_combinations:12
